lon,lat,HGT surface d=2019080707 anl
276.091060,32.974543,0
276.117925,32.972693,0
276.144789,32.970838,0
276.171652,32.968979,0
276.198515,32.967116,0
276.225376,32.965248,0
276.252237,32.963375,0
276.279097,32.961498,0
276.305956,32.959617,0
276.332814,32.957731,0
276.359671,32.955840,0
276.386527,32.953945,0
276.413383,32.952046,0
276.440237,32.950142,0
276.467091,32.948234,0
276.493944,32.946321,0
276.520795,32.944404,0
276.547646,32.942482,0
276.574496,32.940556,0
276.601345,32.938625,0
276.628193,32.936690,0
276.655041,32.934751,0
276.681887,32.932806,0
276.708732,32.930858,0
276.735577,32.928905,0
276.762420,32.926947,0
276.789263,32.924985,0
276.816105,32.923019,0
276.842946,32.921048,0
276.869785,32.919073,0
276.896624,32.917093,0
276.923462,32.915108,0
276.950299,32.913120,0
276.977135,32.911126,0
277.003971,32.909129,0
277.030805,32.907127,0
277.057638,32.905120,0
277.084470,32.903109,0
277.111302,32.901093,0
277.138132,32.899073,0
277.164962,32.897049,0
277.191790,32.895019,0
277.218618,32.892986,0
277.245444,32.890948,0
277.272270,32.888906,0
277.299095,32.886859,0
277.325918,32.884807,0
277.352741,32.882752,0
277.379563,32.880691,0
277.406384,32.878627,0
277.433203,32.876557,0
277.460022,32.874484,0
277.486840,32.872406,0
277.513657,32.870323,0
277.540473,32.868236,0
277.567288,32.866144,0
277.594102,32.864048,0
277.620915,32.861948,0
277.647727,32.859843,0
277.674538,32.857733,0
277.701348,32.855620,0
277.728157,32.853501,0
277.754965,32.851378,0
277.781771,32.849251,0
277.808577,32.847119,0
277.835382,32.844983,0
277.862186,32.842843,0
277.888989,32.840697,0
277.915791,32.838548,0
277.942592,32.836394,0
277.969392,32.834235,0
277.996191,32.832072,0
278.022989,32.829905,0
278.049786,32.827733,0
278.076582,32.825557,0
278.103376,32.823376,0
278.130170,32.821191,0
278.156963,32.819001,0
278.183755,32.816807,0
278.210545,32.814608,0
278.237335,32.812405,0
278.264124,32.810197,0
278.290911,32.807985,0
278.317698,32.805769,0
278.344483,32.803548,0
278.371268,32.801322,0
278.398051,32.799092,0
278.424833,32.796858,0
278.451615,32.794619,0
278.478395,32.792376,0
278.505174,32.790128,0
278.531952,32.787876,0
278.558729,32.785619,0
278.585505,32.783358,0
278.612280,32.781093,0
278.639054,32.778823,0
278.665827,32.776548,0
278.692599,32.774269,0
278.719370,32.771986,0
278.746139,32.769698,0
278.772908,32.767406,0
278.799675,32.765109,0
278.826442,32.762808,0
278.853207,32.760502,0
278.879971,32.758192,0
278.906734,32.755877,0
278.933496,32.753558,0
278.960257,32.751235,0
278.987017,32.748907,0
279.013776,32.746574,0
279.040533,32.744237,0
279.067290,32.741896,0
279.094045,32.739550,0
279.120800,32.737200,0
